,file,column,data type,outlier,missing values,length,outlier score,Missing Data Score
0,Sector base Indices/NASDAQ Banking Index.csv,Trade Date,object,0,3202,3202,0,1
0,Sector base Indices/NASDAQ Banking Index.csv,Index Value,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,High,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Low,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Total Market Value,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Dividend Market Value,float64,66,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Trade Date,object,0,3202,3202,0,1
0,Sector base Indices/NASDAQ Banking Index.csv,Index Value,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,High,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Low,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Total Market Value,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Dividend Market Value,float64,66,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Trade Date,object,0,3202,3202,0,1
0,Sector base Indices/NASDAQ Banking Index.csv,Index Value,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,High,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Low,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Total Market Value,float64,0,0,3202,0,0
0,Sector base Indices/NASDAQ Banking Index.csv,Dividend Market Value,float64,66,0,3202,0,0
